,Player,Position,Season,Clearence,Touches,Tackles,Goals,Shoots,Passes,Assists,Weekly Wage,Minutes
0,David Ospina,Goalkeeper,2016,3.0,59.0,0.0,0.0,0.0,44.0,0.0,40000.0,142.0
1,David Ospina,Goalkeeper,2015,1.0,151.0,0.0,0.0,0.0,110.0,0.0,0.0,360.0
2,David Ospina,Goalkeeper,2014,18.0,634.0,0.0,0.0,0.0,482.0,0.0,0.0,1620.0
3,Petr Cech,Goalkeeper,2016,18.0,1228.0,0.0,0.0,0.0,844.0,0.0,100000.0,3098.0
4,Petr Cech,Goalkeeper,2015,33.0,1230.0,0.0,0.0,0.0,853.0,0.0,0.0,3060.0
5,Mathieu Debuchy,Defender,2015,1.0,133.0,9.0,0.0,1.0,79.0,0.0,0.0,144.0
6,Mathieu Debuchy,Defender,2014,51.0,623.0,26.0,1.0,8.0,369.0,0.0,0.0,808.0
7,Mathieu Debuchy,Defender,2016,0.0,13.0,0.0,0.0,0.0,10.0,0.0,70000.0,16.0
8,Kieran Gibbs,Defender,2016,34.0,589.0,12.0,0.0,5.0,372.0,1.0,60000.0,702.0
9,Kieran Gibbs,Defender,2015,10.0,311.0,12.0,1.0,5.0,198.0,0.0,0.0,381.0
10,Kieran Gibbs,Defender,2014,64.0,1402.0,44.0,0.0,13.0,888.0,3.0,0.0,1657.0
11,Per Mertesacker,Defender,2016,2.0,16.0,2.0,0.0,0.0,8.0,0.0,70000.0,37.0
12,Per Mertesacker,Defender,2015,108.0,1479.0,27.0,0.0,8.0,1246.0,0.0,0.0,2049.0
13,Per Mertesacker,Defender,2014,194.0,2174.0,27.0,0.0,13.0,1776.0,1.0,0.0,3150.0
14,Gabriel,Defender,2016,85.0,1183.0,25.0,0.0,9.0,872.0,0.0,50000.0,1516.0
15,Gabriel,Defender,2015,112.0,1412.0,43.0,1.0,11.0,1110.0,0.0,0.0,1761.0
16,Gabriel,Defender,2014,43.0,210.0,3.0,0.0,2.0,129.0,1.0,0.0,349.0
17,Laurent Koscielny,Defender,2016,202.0,2131.0,48.0,2.0,9.0,1667.0,0.0,75000.0,2823.0
18,Laurent Koscielny,Defender,2015,186.0,2217.0,47.0,4.0,19.0,1691.0,0.0,0.0,2846.0
19,Laurent Koscielny,Defender,2014,159.0,1559.0,34.0,3.0,8.0,1156.0,0.0,0.0,2288.0
20,Nacho Monreal,Defender,2016,99.0,2575.0,90.0,0.0,12.0,1753.0,2.0,65000.0,3153.0
21,Nacho Monreal,Defender,2015,114.0,2759.0,80.0,0.0,12.0,1844.0,3.0,0.0,3248.0
22,Nacho Monreal,Defender,2014,124.0,1854.0,65.0,0.0,4.0,1247.0,1.0,0.0,2311.0
23,Héctor Bellerín,Defender,2016,46.0,2069.0,24.0,1.0,22.0,1392.0,4.0,50000.0,2499.0
24,Héctor Bellerín,Defender,2015,85.0,2613.0,58.0,1.0,13.0,1689.0,5.0,0.0,3240.0
25,Héctor Bellerín,Defender,2014,44.0,1260.0,39.0,2.0,5.0,749.0,1.0,0.0,1561.0
26,Carl Jenkinson,Defender,2016,5.0,62.0,4.0,0.0,0.0,35.0,0.0,0.0,83.0
27,Jack Wilshere,Midfielder,2015,3.0,114.0,3.0,0.0,1.0,83.0,0.0,0.0,141.0
28,Jack Wilshere,Midfielder,2014,2.0,691.0,10.0,2.0,18.0,524.0,1.0,0.0,732.0
29,Jack Wilshere,Midfielder,2016,0.0,34.0,2.0,0.0,0.0,23.0,0.0,90000.0,37.0
30,Calum Chambers,Midfielder,2016,1.0,96.0,2.0,1.0,2.0,85.0,0.0,20000.0,90.0
31,Calum Chambers,Midfielder,2015,21.0,273.0,8.0,0.0,2.0,195.0,0.0,0.0,315.0
32,Calum Chambers,Midfielder,2014,78.0,1386.0,49.0,1.0,7.0,883.0,1.0,0.0,1570.0
33,Mesut Özil,Midfielder,2016,9.0,2647.0,26.0,8.0,40.0,2110.0,9.0,140000.0,2847.0
34,Mesut Özil,Midfielder,2015,10.0,2963.0,35.0,6.0,47.0,2276.0,19.0,0.0,3047.0
35,Mesut Özil,Midfielder,2014,6.0,1817.0,28.0,4.0,29.0,1398.0,5.0,0.0,1859.0
36,Alex Oxlade-Chamberlain,Midfielder,2016,22.0,1223.0,37.0,2.0,28.0,774.0,7.0,65000.0,1562.0
37,Alex Oxlade-Chamberlain,Midfielder,2015,9.0,716.0,23.0,1.0,23.0,439.0,0.0,0.0,919.0
38,Alex Oxlade-Chamberlain,Midfielder,2014,6.0,1150.0,26.0,1.0,32.0,709.0,1.0,0.0,1491.0
39,Aaron Ramsey,Midfielder,2016,14.0,1166.0,21.0,1.0,42.0,920.0,4.0,110000.0,1229.0
40,Aaron Ramsey,Midfielder,2015,20.0,2774.0,78.0,5.0,69.0,2154.0,4.0,0.0,2623.0
41,Aaron Ramsey,Midfielder,2014,22.0,2110.0,58.0,6.0,63.0,1641.0,6.0,0.0,2009.0
42,Santiago Cazorla,Midfielder,2016,3.0,695.0,10.0,2.0,8.0,561.0,2.0,90000.0,619.0
43,Santiago Cazorla,Midfielder,2015,15.0,1525.0,28.0,0.0,24.0,1228.0,3.0,0.0,1292.0
44,Santiago Cazorla,Midfielder,2014,24.0,3162.0,59.0,7.0,93.0,2367.0,11.0,0.0,2992.0
45,Francis Coquelin,Midfielder,2016,32.0,1535.0,71.0,0.0,14.0,1180.0,0.0,45000.0,1785.0
46,Francis Coquelin,Midfielder,2015,22.0,1453.0,72.0,0.0,8.0,1116.0,0.0,0.0,1646.0
47,Francis Coquelin,Midfielder,2014,67.0,1375.0,72.0,0.0,5.0,999.0,0.0,0.0,1663.0
48,Mohamed Elneny,Midfielder,2016,5.0,705.0,22.0,0.0,15.0,616.0,1.0,0.0,694.0
49,Mohamed Elneny,Midfielder,2015,16.0,860.0,10.0,0.0,13.0,738.0,1.0,0.0,794.0
50,Alex Iwobi,Midfielder,2016,4.0,1143.0,19.0,3.0,39.0,896.0,3.0,30000.0,1462.0
51,Alex Iwobi,Midfielder,2015,1.0,499.0,8.0,2.0,15.0,368.0,2.0,0.0,632.0
52,Olivier Giroud,Forward,2016,17.0,553.0,14.0,12.0,39.0,369.0,3.0,100000.0,1194.0
53,Olivier Giroud,Forward,2015,26.0,1289.0,34.0,16.0,101.0,839.0,6.0,0.0,2424.0
54,Olivier Giroud,Forward,2014,23.0,1097.0,27.0,14.0,70.0,764.0,3.0,0.0,1867.0
55,Theo Walcott,Forward,2016,13.0,954.0,36.0,10.0,62.0,538.0,2.0,110000.0,1925.0
56,Theo Walcott,Forward,2015,8.0,584.0,11.0,5.0,45.0,310.0,2.0,0.0,1374.0
57,Theo Walcott,Forward,2014,1.0,187.0,0.0,5.0,23.0,103.0,0.0,0.0,441.0
58,Alexis Sánchez,Forward,2016,4.0,2470.0,53.0,24.0,129.0,1643.0,10.0,140000.0,3223.0
59,Alexis Sánchez,Forward,2015,6.0,2179.0,47.0,13.0,107.0,1434.0,4.0,0.0,2446.0
60,Alexis Sánchez,Forward,2014,6.0,2448.0,69.0,16.0,121.0,1469.0,8.0,0.0,2949.0
61,Yaya Sanogo,Forward,2014,2.0,70.0,0.0,0.0,8.0,37.0,0.0,0.0,140.0
62,Danny Welbeck,Forward,2016,10.0,314.0,8.0,2.0,19.0,192.0,2.0,70000.0,746.0
63,Danny Welbeck,Forward,2015,6.0,281.0,11.0,4.0,20.0,148.0,2.0,0.0,578.0
64,Danny Welbeck,Forward,2014,11.0,897.0,33.0,4.0,58.0,525.0,3.0,0.0,1667.0
65,Granit Xhaka,Midfielder,2016,33.0,2681.0,77.0,2.0,34.0,2298.0,2.0,90000.0,2486.0
66,Rob Holding,Defender,2016,47.0,591.0,12.0,0.0,5.0,465.0,0.0,10000.0,810.0
67,Emiliano Martinez,Goalkeeper,2014,2.0,120.0,0.0,0.0,0.0,81.0,0.0,0.0,301.0
68,Emiliano Martinez,Goalkeeper,2016,0.0,63.0,0.0,0.0,0.0,43.0,0.0,0.0,180.0
69,Lucas Pérez,Forward,2016,1.0,167.0,3.0,1.0,9.0,116.0,0.0,70000.0,265.0
70,Shkodran Mustafi,Defender,2016,129.0,1963.0,54.0,2.0,24.0,1564.0,2.0,90000.0,2275.0
71,Ainsley Maitland-Niles,Midfielder,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Mathieu Flamini,0,2015,25.0,801.0,31.0,0.0,7.0,627.0,0.0,0.0,1089.0
73,Mathieu Flamini,0,2014,33.0,1074.0,44.0,1.0,7.0,864.0,1.0,0.0,1455.0
74,Mikel Arteta,0,2015,8.0,170.0,8.0,0.0,1.0,132.0,0.0,0.0,161.0
75,Mikel Arteta,0,2014,5.0,474.0,11.0,0.0,2.0,420.0,1.0,0.0,450.0
76,Joel Campbell,0,2015,3.0,551.0,26.0,3.0,19.0,342.0,2.0,0.0,887.0
77,Joel Campbell,0,2014,1.0,50.0,0.0,0.0,0.0,35.0,0.0,0.0,39.0
78,Wojciech Szczesny,0,2014,10.0,547.0,0.0,0.0,0.0,387.0,0.0,0.0,1499.0
79,Tomas Rosicky,0,2014,7.0,530.0,10.0,2.0,10.0,446.0,1.0,0.0,576.0
80,Lukas Podolski,0,2014,2.0,103.0,0.0,0.0,9.0,74.0,0.0,0.0,99.0
81,Chuba Akpom,0,2014,1.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0
